tool,protocol,target,user,password,source,include
sef,ftp,ubuntuTarget,chris,chris,,
sef,sftp,ubuntuTarget,chris,chris,,
sef,scp,ubuntuTarget,chris,chris,,
xsef,webdav,ubuntuTarget,chris,chris,,
xsef,mega,ubuntuTarget,chris,chris,,
winscp,ftp,ubuntuTarget,chris,chris,,
winscp,sftp,ubuntuTarget,chris,chris,,
winscp,ftps,ubuntuTarget,chris,chris,,
winscp,scp,ubuntuTarget,chris,chris,,
xwinscp,webdav,ubuntuTarget,chris,chris,,
rclone,ftp,ubuntuTarget,chris,chris,,
rclone,ftps,ubuntuTarget,chris,chris,,
rclone,sftp,ubuntuTarget,chris,chris,,
xrclone,mega,ubuntuTarget,chris,chris,,
restic,sftp,ubuntuTarget,chris,chris,,
restic,rest,ubuntuTarget,chris,chris,,
freefilesync,ftp,ubuntuTarget,chris,chris,,
freefilesync,sftp,ubuntuTarget,chris,chris,,
freefilesync,ftps,ubuntuTarget,chris,chris,,
